Timestamp,What is your age? (Enter Number-- ex. 23),What is your gender?,What is the highest level of education you have completed?,Where is your primary residence? (Continent Wise),How would you describe your race/ethnicity,zoom,gpt,social_media,Positive,Negative,Neutral
2024/11/13 9:25:18 AM EST,21,Female,High School,North America,Asian,8,7,7,1,0,0
2024/11/13 3:06:50 PM EST,21,Female,Some College,North America,White,10,5,9,1,0,0
2024/11/13 3:17:09 PM EST,22,Female,Some College,North America,Asian,10,8,6,1,0,0
2024/11/13 3:19:08 PM EST,21,Female,Some College,North America,Biracial,10,9,10,1,0,0
2024/11/13 3:19:50 PM EST,19,Male,High School,North America,Black or African American,7,8,10,1,0,0
2024/11/13 3:24:59 PM EST,20,Female,Some College,North America,White,7,9,7,1,0,0
2024/11/13 3:29:48 PM EST,20,Female,High School,North America,Black or African American,10,8,7,1,0,0
2024/11/13 3:30:35 PM EST,20,Male,Some College,North America,White,9,8,5,1,0,0
2024/11/13 3:41:46 PM EST,21,Female,High School,Asia,Asian,9,10,8,1,0,0
2024/11/13 3:44:36 PM EST,21,Female,Bachelor's Degree,Asia,Black or African American,8,6,10,1,0,0
2024/11/13 3:59:00 PM EST,21,Female,High School,North America,Asian,10,8,8,1,0,0
2024/11/13 4:25:32 PM EST,48,Female,Post Graduate,Asia,Asian,9,3,9,1,0,0
2024/11/13 4:44:11 PM EST,21,Female,Some College,Asia,Asian,7,7,10,1,0,0
2024/11/13 7:31:04 PM EST,21,Male,High School,Asia,South Asian,6,2,7,1,0,0
2024/11/13 9:31:20 PM EST,46,Female,Phd,Asia,Asian,9,9,10,1,0,0
2024/11/14 8:06:42 AM EST,21,Male,High School,North America,White,10,9,10,1,0,0
2024/11/14 8:27:20 AM EST,21,Female,Bachelor's Degree,South America,Hispanic or Latino,10,10,8,1,0,0
2024/11/14 10:32:52 AM EST,21,Female,Bachelor's Degree,Asia,Asian,10,7,8,1,0,0
2024/11/15 12:23:20 AM EST,22,Female,Some College,North America,Black or African American,9,5,7,1,0,0
2024/11/15 11:41:03 AM EST,21,Male,Some College,North America,Black or African American,8,8,6,1,0,0
2024/11/15 11:42:05 AM EST,22,Male,Bachelor's Degree,North America,Asian,8,8,5,1,0,0
2024/11/15 2:30:53 PM EST,21,Female,High School,North America,Middle Eastern,10,5,8,1,0,0
2024/11/15 2:34:00 PM EST,21,Male,Bachelor's Degree,North America,Hispanic or Latino,10,10,5,1,0,0
2024/11/15 2:35:22 PM EST,21,Female,Some College,North America,Asian,8,5,8,1,0,0
2024/11/15 2:37:15 PM EST,23,Male,Associates,North America,Asian,8,9,2,1,0,0
2024/11/15 2:48:17 PM EST,21,Male,Some College,North America,White,10,10,5,1,0,0
2024/11/15 3:04:43 PM EST,19,Female,High School,North America,Asian,5,7,1,1,0,0
2024/11/15 3:05:16 PM EST,21,Male,Bachelor's Degree,North America,White,10,7,4,1,0,0
