"Timestamp","What is your age? (Enter Number-- ex. 23)","What is your gender?","What is the highest level of education you have completed?","Where is your primary residence? (Continent Wise)","How would you describe your race/ethnicity","How much do you support the implementation of a hybrid work model for employees?Rate your agreement on the scale from 1-10(1- Strongly Disagree and 10- Strongly Agree)*","How much do you support the use of AI in academic and corporate environments? Rate your agreement on the scale from 1-10(1- Strongly Disagree and 10- Strongly Agree)*","How much do you support implementing stricter regulations on social media? Rate your agreement on the scale from 1-10(1- Strongly Disagree and 10- Strongly Agree)*
"
"2024/11/13 11:39:58 AM EST","20","Male","Bachelor's Degree","Asia","Indian","3","8","4"
"2024/11/13 1:30:44 PM EST","25","Female","Graduate Degree","North America","Asian","10","3","1"
"2024/11/13 2:30:06 PM EST","21","Female","Some College","North America","Hispanic or Latino","6","9","6"
"2024/11/13 2:54:49 PM EST","48","Female","Masters","Europe","Asian","10","10","7"
"2024/11/13 3:00:55 PM EST","17","Male","High School","Asia","Asian","8","9","7"
"2024/11/13 3:01:54 PM EST","16","Male","High School","Europe","Asian","10","9","2"
"2024/11/13 3:05:55 PM EST","22","Male","Bachelor's Degree","North America","White","7","6","6"
"2024/11/13 3:22:31 PM EST","22","Female","Some College","North America","White","6","8","6"
"2024/11/13 3:22:36 PM EST","20","Female","Bachelor's Degree","North America","Hispanic or Latino","10","8","8"
"2024/11/13 3:50:11 PM EST","21","Female","Some College","North America","White","8","6","7"
"2024/11/13 3:58:24 PM EST","23","Male","Bachelor's Degree","North America","Asian","8","9","10"
"2024/11/13 4:11:02 PM EST","20","Male","High School","North America","Black or African American","10","10","5"
"2024/11/13 4:26:01 PM EST","20","Female","High School","North America","Black or African American","10","8","3"
"2024/11/13 4:31:35 PM EST","23","Female","Bachelor's Degree","North America","White","8","7","7"
"2024/11/13 5:00:50 PM EST","21","Female","Some College","North America","Black or African American","6","3","8"
"2024/11/13 8:26:08 PM EST","23","Male","Bachelor's Degree","North America","Asian","7","7","8"
"2024/11/14 8:11:24 AM EST","21","Male","High School","North America","Hispanic or Latino","5","4","5"
"2024/11/14 10:05:59 AM EST","49","Male","Graduate Degree","Asia","Asian","3","7","7"
"2024/11/14 2:43:53 PM EST","22","Female","Some College","North America","Black or African American","10","10","10"
"2024/11/15 11:41:28 AM EST","22","Female","Bachelor's Degree","Asia","Asian","9","10","8"
"2024/11/15 2:36:21 PM EST","22","Female","High School","North America","Hispanic or Latino","10","9","4"
"2024/11/15 2:43:53 PM EST","21","Male","Some College","North America","White","7","6","5"
"2024/11/15 2:47:08 PM EST","23","Male","High School","North America","Asian","8","10","10"
"2024/11/15 3:02:12 PM EST","21","Male","Bachelor's Degree","North America","Asian","3","5","7"
"2024/11/15 3:02:29 PM EST","21","Male","Some College","North America","White","3","3","5"
"2024/11/15 3:08:18 PM EST","21","Male","High School","North America","Asian","7","7","4"
"2024/11/15 3:15:41 PM EST","21","Male","Some College","North America","Hispanic or Latino","10","10","2"
"2024/11/15 3:18:59 PM EST","21","Female","Some College","North America","Hispanic or Latino","10","10","7"
"2024/11/15 3:31:49 PM EST","23","Male","Bachelor's Degree","North America","White","8","4","5"
"2024/11/15 4:06:46 PM EST","21","Female","Bachelor's Degree","North America","Hispanic or Latino","8","5","6"
"2024/11/15 4:14:23 PM EST","21","Male","Some College","North America","White","5","7","8"
"2024/11/15 7:26:04 PM EST","17","Female","High School","North America","White","8","4","2"
"2024/11/16 4:47:21 PM EST","22","Female","Some College","North America","White","7","8","3"
"2024/11/16 5:12:32 PM EST","21","Male","Some College","North America","Hispanic or Latino","7","9","5"
"2024/11/18 11:00:44 AM EST","20","Female","Some College","North America","Black or African American","6","8","5"
"2024/11/18 3:56:05 PM EST","21","Female","High School","North America","Asian","8","7","5"
"2024/11/18 5:59:54 PM EST","22","Female","Some College","North America","Black or African American","8","9","6"
